PDF_URL,TITLE,YEAR
https://assets.scriptslug.com/live/pdf/scripts/amsterdam-2022.pdf,amsterdam ,2022
https://assets.scriptslug.com/live/pdf/scripts/an-affair-to-remember-1957.pdf,an affair to remember ,1957
https://assets.scriptslug.com/live/pdf/scripts/an-american-werewolf-in-london-1981.pdf,an american werewolf in london ,1981
https://assets.scriptslug.com/live/pdf/scripts/an-unmarried-woman-1978.pdf,an unmarried woman ,1978
https://assets.scriptslug.com/live/pdf/scripts/anaconda-1997.pdf,anaconda ,1997
https://assets.scriptslug.com/live/pdf/scripts/analyze-that-2002.pdf,analyze that ,2002
https://assets.scriptslug.com/live/pdf/scripts/analyze-this-1999.pdf,analyze this ,1999
https://assets.scriptslug.com/live/pdf/scripts/anastasia-1997.pdf,anastasia ,1997
https://assets.scriptslug.com/live/pdf/scripts/anatomy-of-a-fall-2023.pdf,anatomy of a fall ,2023
https://assets.scriptslug.com/live/pdf/scripts/anatomy-of-a-murder-1959.pdf,anatomy of a murder ,1959
https://assets.scriptslug.com/live/pdf/scripts/anchorman-the-legend-of-ron-burgundy-2004.pdf,anchorman the legend of ron burgundy ,2004
https://assets.scriptslug.com/live/pdf/scripts/angel-eyes-2001.pdf,angel eyes ,2001
https://assets.scriptslug.com/live/pdf/scripts/angels-with-dirty-faces-1938.pdf,angels with dirty faces ,1938
https://assets.scriptslug.com/live/pdf/scripts/anger-management-2003.pdf,anger management ,2003
https://assets.scriptslug.com/live/pdf/scripts/animal-kingdom-2010.pdf,animal kingdom ,2010
https://assets.scriptslug.com/live/pdf/scripts/annabelle-2014.pdf,annabelle ,2014
https://assets.scriptslug.com/live/pdf/scripts/annette-2021.pdf,annette ,2021
https://assets.scriptslug.com/live/pdf/scripts/annie-hall-1977.pdf,annie hall ,1977
https://assets.scriptslug.com/live/pdf/scripts/annihilation-2018.pdf,annihilation ,2018
https://assets.scriptslug.com/live/pdf/scripts/another-48-hrs-1990.pdf,another 48 hrs ,1990
https://assets.scriptslug.com/live/pdf/scripts/another-year-2010.pdf,another year ,2010
https://assets.scriptslug.com/live/pdf/scripts/antebellum-2020.pdf,antebellum ,2020
https://assets.scriptslug.com/live/pdf/scripts/anthropoid-2016.pdf,anthropoid ,2016
https://assets.scriptslug.com/live/pdf/scripts/any-given-sunday-1999.pdf,any given sunday ,1999
https://assets.scriptslug.com/live/pdf/scripts/apocalypse-now-1979.pdf,apocalypse now ,1979
https://assets.scriptslug.com/live/pdf/scripts/argentina-1985-2022.pdf,argentina 1985 ,2022
https://assets.scriptslug.com/live/pdf/scripts/argo-2012.pdf,argo ,2012
https://assets.scriptslug.com/live/pdf/scripts/armageddon-1998.pdf,armageddon ,1998
https://assets.scriptslug.com/live/pdf/scripts/armageddon-time-2022.pdf,armageddon time ,2022
https://assets.scriptslug.com/live/pdf/scripts/armed-and-dangerous-1986.pdf,armed and dangerous ,1986
https://assets.scriptslug.com/live/pdf/scripts/army-of-darkness-1992.pdf,army of darkness ,1992
https://assets.scriptslug.com/live/pdf/scripts/arrival-2016.pdf,arrival ,2016
